vedio_id,title,video_link,description,sequence,course_id,course_module_ref_id
1,Mechanical Construction - Series 01 : C1 : Equipment Overview & Project Modelling,https://www.youtube.com/embed/p4jNoyJnLSU?si=8xYqSdPXynSvaoaz, "Join us for a hands-on adventure into the world of mechanical construction! In this exciting video, we’ll dive into what mechanical engineering is all about and guide you step-by-step in creating your very own model. Perfect for kids who love building and exploring how things work! In this video, you’ll learn: What is Mechanical Construction?: Discover the basics of how machines and structures are built. Tools of the Trade: Get familiar with the essential tools you'll need for building models. Step-by-Step Building: Follow along as we construct a fun model from start to finish. Engineering Concepts: Understand the principles behind mechanics and design. Creative Tips: Explore ways to customize your model and make it unique! Grab your materials and get ready to unleash your creativity! Let’s build something amazing together! ",1,fc47f181863d4c8daf9d6347ed83ed6f,d3d9446802a44259755d38e6d163e820
2,Mechanical Construction - Series 01 : C2 : Project - Mini Helicopter,https://www.youtube.com/embed/9FrYHSqbzXQ?si=uXvM-Sw0zeBPPXO8,"Join us for a hands-on adventure into the world of mechanical construction! In this exciting video, we’ll dive into what mechanical engineering is all about and guide you step-by-step in creating your very own model. Perfect for kids who love building and exploring how things work! In this video, you’ll learn: What is Mechanical Construction?: Discover the basics of how machines and structures are built. Tools of the Trade: Get familiar with the essential tools you'll need for building models. Step-by-Step Building: Follow along as we construct a fun model from start to finish. Engineering Concepts: Understand the principles behind mechanics and design. Creative Tips: Explore ways to customize your model and make it unique! Grab your materials and get ready to unleash your creativity! Let’s build something amazing together! ",2,fc47f181863d4c8daf9d6347ed83ed6f,f5d3b1b235d5579c88a6d5c582e5d1f9
3,Mechanical Construction - Series 01 : C3 : Project - Bike,https://www.youtube.com/embed/Wwu5iv-UN34?si=NbogiKMw5FrO_tQn,"Join us for a hands-on adventure into the world of mechanical construction! In this exciting video, we’ll dive into what mechanical engineering is all about and guide you step-by-step in creating your very own model. Perfect for kids who love building and exploring how things work! In this video, you’ll learn: What is Mechanical Construction?: Discover the basics of how machines and structures are built. Tools of the Trade: Get familiar with the essential tools you'll need for building models. Step-by-Step Building: Follow along as we construct a fun model from start to finish. Engineering Concepts: Understand the principles behind mechanics and design. Creative Tips: Explore ways to customize your model and make it unique! Grab your materials and get ready to unleash your creativity! Let’s build something amazing together! ",3,fc47f181863d4c8daf9d6347ed83ed6f,a7b0d09a8ac4c9efc69b3d902f70377d
4,"Mechanical Construction - Series 01 : C4 : Project - Heavy Duty Truck, Car Assembly",https://www.youtube.com/embed/V1rv39B4omo?si=r2mcPLYgb_0aBIq8, "Welcome to our channel! In this video, we dive into the world of mechanical construction as we assemble a heavy-duty truck using a detailed and dynamic assembly kit. Watch as we guide you step-by-step through the process, from putting together the engine and chassis to adding the intricate components that make this truck run smoothly. Join us on this exciting journey of mechanical engineering, where precision and skill come together to build a fully functional, scale-model truck. Whether you're a fan of heavy machinery or a hobbyist passionate about mechanical construction, this video is for you! Be sure to like, subscribe, and click the bell icon to stay updated on more hands-on building projects like this one!",4,fc47f181863d4c8daf9d6347ed83ed6f,77a9e167b9452f45e4a7465e3d8231e0
5,"Basic Electronics : SERIES 01: C1 : Light, Buzzer & Dimmer Module",https://www.youtube.com/embed/35hzuXSSsp4?si=ylRlYXPWfeH2Spbc, "In this video, we demonstrate the functionality of a power supply, battery, light, buzzer, and dimmer module from a versatile electronics kit. We show how each component works in a simple yet effective way, providing an overview of their connections and operations. The power supply ensures that all components receive the necessary voltage, while the battery provides a backup option for uninterrupted power. The light module offers adjustable brightness using the dimmer, and the buzzer is used for sound alerts or notifications. Watch as we configure and test these modules to illustrate their real-world applications in various projects. Whether you're building a home automation system or learning about electronics, this video covers the basic principles behind these essential components. Enjoy learning and experimenting with these modules to enhance your understanding of electronics!",1,e1f5bc12fcb648178fdcd18592cded60,f865fe9ed68b348fb93f7752a30740b4
6,Basic Electronics : SERIES 01: C2 : Switches,https://www.youtube.com/embed/ydMCVO2niJ0?si=I_oR21jwpFrGpS6M,"Learn about switching modules in basic electronics kits! This video breaks down their components, such as mechanical switches, relays, and push button switches, and explains how they control current flow in circuits. Discover their functionality, practical uses, and how they make automation and signal-based control possible in various electronic projects.",2,e1f5bc12fcb648178fdcd18592cded60,c59f4a3d56b95d3020e509d8e1f07ab2
7,"Basic Electronics : SERIES 01: C3 : COPY Block, Single Input Multiple Outputs",https://www.youtube.com/embed/xDQVvg5_608?si=ICLNFuMJlruaFWhS,"This innovative copy block allows you to seamlessly connect a single input to multiple outputs, offering exceptional versatility for various creative and technical applications. The setup is simple, requiring no complex wiring, and it provides endless possibilities to enhance the scope of your creations. Ideal for anyone seeking to take their projects to the next level.",3,e1f5bc12fcb648178fdcd18592cded60,865ebd7f53b998d0b27346da22602b09
8,"Basic Electronics : SERIES 01: C4 : MOTOR Module, Working Principle",https://www.youtube.com/embed/AsM732QTbO4?si=gDBNzpuYIOhaY2FG,"The motor in this block operates on the principles of electromagnetism, where electrical energy is converted into mechanical energy. When an electrical current flows through the coil inside the motor, it creates a magnetic field. This magnetic field interacts with a permanent magnet or another coil, generating a force that causes the motor's shaft to rotate. The conversion of electrical energy into mechanical energy enables the motor to perform tasks such as driving mechanical systems or creating motion. The direction of rotation depends on the direction of the current, while varying the current controls the speed of the motor. The rotation continues as long as the current is supplied, making the motor a reliable component for various applications.",4,e1f5bc12fcb648178fdcd18592cded60,fd1b8adf9fc1230f7b4c9e054aef2548
9,"Basic Electronics : SERIES 01: C5 : OBSTACLE SENSOR & SENSOR BASE, Smart Alarm Project",https://www.youtube.com/embed/JFi0ET8GsUw?si=zs3XZyG2yruUGUqm,"In this project, we demonstrate how to build an Obstacle Sensor and Smart Alarm System using an Obstacle Sensor Block and a Sensor Base Block with a potentiometer that controls the sensitivity of the sensor. The obstacle sensor detects objects in its range, and the potentiometer allows you to adjust the sensor's sensitivity to control the detection distance. When an object is detected within the configured range, the system triggers a smart alarm to notify you. This project is perfect for applications like security systems, automation, and robotics, offering customizable control over sensitivity. Watch the video for a detailed, step-by-step guide to assembling the components, adjusting the potentiometer, and testing the system in different scenarios.",5,e1f5bc12fcb648178fdcd18592cded60,4ac5390c58b45bba5a4a684c34d0b619
10,"Basic Electronics : SERIES 01: C6 : NOT Block, Motor Module, Two-Wheel Car",https://www.youtube.com/embed/z0y3Jv82QBs?si=6DQrGHLTHdDUiZVl,"Join us at Reboot Robotics Academy as we dive into the basics of electronics and robotics! In this video, we’ll explore how fundamental components like the NOT block and Motor module work. Watch as we combine these modules to build a functional two-wheel robotic car. Whether you're a beginner or a budding robotics enthusiast, this step-by-step guide is perfect for you. Subscribe for more hands-on robotics tutorials and projects!",6,e1f5bc12fcb648178fdcd18592cded60,c02f91838c0d9ee31cce0f032d869bb1
